array_size,use_padding,creation_time_s,serial_time_s,parallel_time_s,run
50,0,0.00000200,0.00000100,0.00034000,1
50,0,0.00000100,0.00000000,0.00028300,2
50,0,0.00000200,0.00000100,0.00029400,3
50,0,0.00000100,0.00000000,0.00026300,4
50,0,0.00000100,0.00000000,0.00027300,5
100,0,0.00000200,0.00000000,0.00024100,1
100,0,0.00000300,0.00000100,0.00040800,2
100,0,0.00000300,0.00000000,0.00029500,3
100,0,0.00000300,0.00000000,0.00032100,4
100,0,0.00000300,0.00000100,0.00029100,5
500,0,0.00001700,0.00000200,0.00029800,1
500,0,0.00001700,0.00000300,0.00029400,2
500,0,0.00001200,0.00000100,0.00024500,3
500,0,0.00001400,0.00000200,0.00025400,4
500,0,0.00001200,0.00000200,0.00024700,5
1000,0,0.00002400,0.00000300,0.00025200,1
1000,0,0.00002400,0.00000300,0.00024200,2
1000,0,0.00003200,0.00000500,0.00028500,3
1000,0,0.00003200,0.00000400,0.00028100,4
1000,0,0.00003100,0.00000400,0.00027900,5
10000,0,0.00031200,0.00004900,0.00039900,1
10000,0,0.00031000,0.00003800,0.00029800,2
10000,0,0.00032200,0.00003900,0.00030100,3
10000,0,0.00032600,0.00003900,0.00040800,4
10000,0,0.00031700,0.00004000,0.00030700,5
100000,0,0.00340000,0.00040400,0.00057500,1
100000,0,0.00328700,0.00040000,0.00047100,2
100000,0,0.00324000,0.00038600,0.00046800,3
100000,0,0.00329000,0.00042100,0.00054700,4
100000,0,0.00327700,0.00034300,0.00047000,5
1000000,0,0.02965400,0.00287900,0.00270400,1
1000000,0,0.02820100,0.00294100,0.00327900,2
1000000,0,0.02864300,0.00286200,0.00272400,3
1000000,0,0.02842400,0.00284600,0.00282900,4
1000000,0,0.02831300,0.00285300,0.00298000,5
10000000,0,0.28623600,0.02892400,0.02247200,1
10000000,0,0.24332300,0.02833400,0.02348600,2
10000000,0,0.23918300,0.02899000,0.02374500,3
10000000,0,0.24053500,0.02925400,0.02220100,4
10000000,0,0.24433700,0.02853000,0.02487000,5
